,Date,Visit,Home,V_Odd,H_Odd,OU
0,2022-10-19,PHI,BOS,110,-196,215.5
1,2022-10-19,LAL,GSW,192,-384,224.5
2,2022-10-20,WAS,IND,-175,100,226.5
3,2022-10-20,ORL,DET,114,-204,216.5
4,2022-10-20,CHI,MIA,177,-344,216.5
5,2022-10-20,CLE,TOR,-103,-169,216.5
6,2022-10-20,NYK,MEM,160,-303,225.5
7,2022-10-20,HOU,ATL,311,-833,234.5
8,2022-10-20,NOP,BKN,117,-208,230.5
9,2022-10-21,OKC,MIN,357,-1111,225.5
10,2022-10-21,CHA,SAS,-112,-153,225.5
11,2022-10-21,DEN,UTA,-434,209,225.5
12,2022-10-21,DAL,PHO,137,-250,218.5
13,2022-10-21,POR,SAC,-104,-166,228.5
14,2022-10-22,MIL,PHI,112,-200,225.5
15,2022-10-22,LAC,LAL,-303,160,226.5
16,2022-10-23,NOP,CHA,-126,-136,231.5
17,2022-10-23,CHI,WAS,-126,-136,224.5
18,2022-10-23,SAS,IND,117,-208,230.5
19,2022-10-23,BOS,MIA,-181,104,218.5
20,2022-10-23,DET,NYK,181,-357,219.5
21,2022-10-23,ORL,ATL,254,-588,225.5
22,2022-10-23,TOR,BKN,104,-185,225.5
23,2022-10-23,UTA,MIN,265,-625,228.5
24,2022-10-23,MEM,HOU,-303,160,232.5
25,2022-10-23,DEN,GSW,168,-322,229.5
26,2022-10-23,PHO,POR,-243,134,224.0
27,2022-10-23,SAS,PHI,504,-3333,223.5
28,2022-10-24,DET,IND,-135,-128,226.5
29,2022-10-24,BOS,ORL,-454,216,219.5
30,2022-10-24,CLE,CHI,-144,-119,220.5
31,2022-10-24,TOR,MIA,114,-204,215.5
32,2022-10-24,HOU,MIL,504,-3333,228.5
33,2022-10-24,MEM,DAL,156,-294,219.5
34,2022-10-24,OKC,DEN,229,-500,224.5
35,2022-10-24,LAC,SAC,-200,112,225.5
36,2022-10-24,POR,LAL,-104,-166,223.5
37,2022-10-24,CHA,ATL,298,-769,229.5
38,2022-10-25,UTA,NOP,202,-416,231.5
39,2022-10-25,WAS,CLE,119,-212,216.5
40,2022-10-25,OKC,MIN,254,-588,227.5
41,2022-10-25,SAC,GSW,286,-714,230.5
42,2022-10-25,PHO,LAC,-129,-133,219.5
43,2022-10-26,IND,PHI,396,-1428,226.5
44,2022-10-26,TOR,MIA,114,-204,215.5
45,2022-10-26,ORL,NYK,223,-476,221.5
46,2022-10-26,BOS,CHI,-277,149,224.5
47,2022-10-26,BKN,MEM,-128,-135,233.5
48,2022-10-26,SAS,MIN,265,-625,234.5
49,2022-10-26,UTA,HOU,-147,-117,232.5
50,2022-10-26,DEN,POR,-227,125,225.5
51,2022-10-27,DET,WAS,156,-294,223.5
52,2022-10-27,DAL,NOP,-277,149,218.5
53,2022-10-27,LAC,OKC,-303,160,216.5
54,2022-10-27,GSW,PHO,-114,-151,226.5
55,2022-10-28,ATL,DET,-476,223,228.5
56,2022-10-28,ORL,CLE,238,-526,218.5
57,2022-10-28,PHI,TOR,-153,-112,212.5
58,2022-10-28,CHA,NYK,216,-454,226.5
59,2022-10-28,BKN,MIL,134,-243,232.5
60,2022-10-28,SAS,MIN,286,-714,234.5
61,2022-10-28,IND,CHI,229,-500,233.5
62,2022-10-28,HOU,UTA,177,-344,232.5
63,2022-10-28,MIA,POR,-123,-140,220.5
64,2022-10-28,LAL,DEN,152,-285,229.5
65,2022-10-29,DAL,BKN,-161,-107,225.5
66,2022-10-29,LAC,OKC,-357,181,217.5
67,2022-10-29,MEM,SAC,-200,112,236.5
68,2022-10-29,MIA,GSW,177,-344,227.5
69,2022-10-30,CHA,ORL,-222,124,225.5
70,2022-10-30,ATL,DET,-384,192,227.5
71,2022-10-30,IND,WAS,172,-333,230.5
72,2022-10-30,PHI,TOR,108,-192,214.5
73,2022-10-30,CLE,BOS,152,-285,220.5
74,2022-10-30,LAL,MIN,223,-476,231.5
75,2022-10-30,NYK,MIL,197,-400,224.5
76,2022-10-30,CHI,SAS,-232,129,229.5
77,2022-10-30,UTA,DEN,229,-500,231.5
78,2022-10-30,HOU,POR,146,-270,223.5
79,2022-10-30,NOP,PHO,202,-416,225.5
80,2022-10-30,MIA,SAC,-208,117,225.5
81,2022-10-31,GSW,CHA,-666,275,234.5
82,2022-10-31,IND,BKN,357,-1111,239.5
83,2022-10-31,MEM,UTA,-222,124,225.5
84,2022-10-31,ATL,MIL,164,-312,228.5
85,2022-10-31,OKC,DAL,340,-999,220.5
86,2022-10-31,PHI,CHI,-172,-101,221.5
87,2022-10-31,NOP,LAC,-101,-172,224.5
88,2022-10-31,GSW,DET,-588,254,230.5
89,2022-10-31,NYK,CLE,134,-243,222.5
90,2022-10-31,WAS,BOS,254,-588,225.5
91,2022-10-31,MIN,SAS,-294,156,235.5
92,2022-10-31,ORL,DAL,298,-769,211.5
93,2022-11-01,HOU,PHO,418,-1666,228.5
94,2022-11-01,DEN,LAL,-169,-103,228.5
95,2022-11-01,PHI,WAS,-243,134,219.5
96,2022-11-01,SAC,CHA,-147,-117,233.5
97,2022-11-01,ATL,TOR,-104,-166,221.5
98,2022-11-01,IND,BKN,265,-625,235.5
99,2022-11-02,DET,MIL,472,-2499,224.5
100,2022-11-02,MEM,UTA,-161,-107,229.5
101,2022-11-02,HOU,LAC,275,-666,224.5
102,2022-11-02,GSW,MIA,-123,-140,226.5
103,2022-11-02,CHI,BKN,-103,-169,233.5
104,2022-11-03,ORL,OKC,114,-204,217.5
105,2022-11-03,MIN,PHO,129,-232,228.5
106,2022-11-03,WAS,PHI,223,-476,219.5
107,2022-11-03,SAC,MIA,134,-243,220.5
108,2022-11-03,BOS,CLE,-149,-116,221.5
109,2022-11-03,ATL,NYK,-104,-166,233.5
110,2022-11-04,CHA,CHI,168,-322,224.5
111,2022-11-04,DET,MIL,418,-1666,223.5
112,2022-11-04,LAC,HOU,-285,152,223.5
113,2022-11-04,TOR,SAS,-400,197,223.5
114,2022-11-04,UTA,DAL,164,-312,222.5
115,2022-11-04,MEM,POR,-294,156,226.5
116,2022-11-04,NOP,LAL,-172,-101,229.5
117,2022-11-04,GSW,ORL,-500,229,225.5
118,2022-11-05,DEN,OKC,-312,164,229.5
119,2022-11-06,BKN,WAS,-117,-147,226.5
120,2022-11-06,NYK,PHI,112,-200,219.5
121,2022-11-06,MIA,IND,-263,143,225.5
122,2022-11-06,CLE,DET,-400,197,223.5
123,2022-11-06,CHI,BOS,197,-400,223.5
124,2022-11-06,LAC,SAS,-212,119,224.5
125,2022-11-06,CHA,MEM,396,-1428,226.5
126,2022-11-06,GSW,NOP,340,-999,227.5
127,2022-11-06,TOR,DAL,122,-217,217.5
128,2022-11-06,POR,PHO,418,-1666,218.5
129,2022-11-06,MIL,MIN,-166,-104,226.5
130,2022-11-06,UTA,LAL,110,-196,228.5
131,2022-11-06,SAC,ORL,-153,-112,224.5
132,2022-11-06,BKN,CHA,-270,146,221.5
133,2022-11-06,BOS,NYK,-204,114,225.5
134,2022-11-06,NOP,ATL,-106,-163,232.5
135,2022-11-07,HOU,MIN,209,-434,233.5
136,2022-11-07,OKC,MIL,197,-400,219.5
137,2022-11-07,SAS,DEN,340,-999,235.5
138,2022-11-07,POR,PHO,418,-1666,216.5
139,2022-11-07,CLE,LAL,-178,102,222.5
140,2022-11-07,CHI,TOR,-114,-151,222.5
141,2022-11-07,WAS,MEM,311,-833,225.5
142,2022-11-07,UTA,LAC,106,-188,221.5
143,2022-11-08,WAS,CHA,-101,-163,214.5
144,2022-11-08,HOU,ORL,136,-232,224.5
145,2022-11-08,OKC,DET,-149,-109,222.5
146,2022-11-08,NO,IND,-294,165,234.5
147,2022-11-08,PHO,PHI,-175,104,214.5
148,2022-11-08,MIL,ATL,-227,133,219.5
149,2022-11-08,POR,MIA,177,-322,216.5
150,2022-11-08,TOR,CHI,-102,-161,220.5
151,2022-11-08,BOS,MEM,-222,129,232.5
152,2022-11-08,NY,MIN,104,-172,234.5
153,2022-11-08,DEN,SA,-400,209,234.5
154,2022-11-08,BKN,DAL,181,-333,216.5
155,2022-11-08,SAC,GS,215,-416,233.5
156,2022-11-08,LAL,UTA,181,-333,225.5
157,2022-11-08,CLE,LAC,-232,136,213.5
158,2022-11-09,DAL,ORL,-357,192,217.5
159,2022-11-09,POR,CHA,-161,-102,221.5
160,2022-11-09,DEN,IND,-270,154,234.5
161,2022-11-09,DET,BOS,517,-2499,225.5
162,2022-11-09,HOU,TOR,272,-588,223.5
163,2022-11-09,UTA,ATL,147,-256,227.5
164,2022-11-09,NYK,BKN,-105,-156,222.5
165,2022-11-09,NOP,CHI,-140,-116,232.5
166,2022-11-09,MIL,OKC,-140,-116,212.5
167,2022-11-09,PHO,MIN,100,-166,222.5
168,2022-11-09,MEM,SAS,-277,158,233.5
169,2022-11-09,LAL,LAC,112,-188,220.5
170,2022-11-09,CLE,SAC,-238,138,227.5
171,2022-11-10,DAL,WAS,-312,173,208.5
172,2022-11-10,CHA,MIA,366,-999,214.5
173,2022-11-10,PHI,ATL,-116,-140,222.5
174,2022-11-10,POR,NO,282,-625,222.5
